address,zipcode,type,status,other_status,price,last_sold_price,tax_assessed_value,tax_assessed_year,mortgage_rate,propert_tax_rate,zestimate,festimate,rent_zestimate,beds,baths,area,year,reduction,days_on_zillow,extra_info,extra_info_type,zpid,id,link
"4200 Thornbriar Ln APT E-203, Orlando, FL 32822",32822,CONDO,FOR_SALE,Condo for sale,125000.0,84000,66000,2018,4.681,1.09,115448,115448,1195,2,2.0,1000,1987,,16,16 days on Zillow,DAYS_ON,71074932,71074932,https://www.zillow.com/homedetails/4200-Thornbriar-Ln-APT-E-203-Orlando-FL-32822/71074932_zpid/
"4503 Ring Neck Rd # B, Orlando, FL 32808",32808,CONDO,FOR_SALE,Condo for sale,96500.0,88000,,,4.681,1.09,90130,90130,1255,2,2.0,1061,1983,"$2,000 (Jan 13)",16,"$2,000 (Jan 13)",PRICE_REDUCTION,2092370649,2092370649,https://www.zillow.com/homedetails/4503-Ring-Neck-Rd-B-Orlando-FL-32808/2092370649_zpid/
"6560 Swissco Dr UNIT 312, Orlando, FL 32822",32822,CONDO,FOR_SALE,Condo for sale,145000.0,122000,90300,2018,4.062,1.09,134869,134869,1300,2,2.0,1088,1999,,17,17 days on Zillow,DAYS_ON,71092937,71092937,https://www.zillow.com/homedetails/6560-Swissco-Dr-UNIT-312-Orlando-FL-32822/71092937_zpid/
"3178 Stonecastle Rd, Orlando, FL 32822",32822,CONDO,FOR_SALE,Auction,151312.0,58000,99144,2018,4.062,1.09,167047,167047,1300,2,2.0,1085,1981,,17,17 days on Zillow,DAYS_ON,46105001,46105001,https://www.zillow.com/homedetails/3178-Stonecastle-Rd-Orlando-FL-32822/46105001_zpid/
"3744 Southpointe Dr # 5, Orlando, FL 32822",32822,CONDO,FOR_SALE,Condo for sale,89900.0,,,,4.681,1.09,83167,83167,,1,1.0,675,1988,"$5,000 (Jan 4)",18,"$5,000 (Jan 4)",PRICE_REDUCTION,2081614869,2081614869,https://www.zillow.com/homedetails/3744-Southpointe-Dr-5-Orlando-FL-32822/2081614869_zpid/
"7662 Forest City Rd APT 121, Orlando, FL 32810",32810,CONDO,FOR_SALE,For sale by owner,65000.0,22000,,,4.681,1.09,38048,38048,1250,3,,1187,1975,,18,18 days on Zillow,DAYS_ON,2133823732,2133823732,https://www.zillow.com/homedetails/7662-Forest-City-Rd-APT-121-Orlando-FL-32810/2133823732_zpid/
"15638 Bermuda St, Orlando, FL 32828",32828,MANUFACTURED,FOR_SALE,Home for sale,98000.0,25127,64129,2018,4.681,1.09,91061,91061,1360,3,2.0,1470,1985,,18,18 days on Zillow,DAYS_ON,46228383,46228383,https://www.zillow.com/homedetails/15638-Bermuda-St-Orlando-FL-32828/46228383_zpid/
"3721 South Lk # 2, Orlando, FL 32808",32808,CONDO,FOR_SALE,Condo for sale,165000.0,,,,4.062,1.09,154741,154741,,3,3.0,1398,2009,,18,18 days on Zillow,DAYS_ON,2082805805,2082805805,https://www.zillow.com/homedetails/3721-South-Lk-2-Orlando-FL-32808/2082805805_zpid/
"10833 Derringer Dr, Orlando, FL 32829",32829,TOWNHOUSE,FOR_SALE,Townhouse for sale,177700.0,165000,139947,2018,4.062,1.09,167645,167645,1449,2,2.0,1227,2005,,19,19 days on Zillow,DAYS_ON,71066135,71066135,https://www.zillow.com/homedetails/10833-Derringer-Dr-Orlando-FL-32829/71066135_zpid/
"1603 Overdale St, Orlando, FL 32825",32825,SINGLE_FAMILY,FOR_SALE,House for sale,195000.0,138000,111558,2018,4.062,1.09,184635,184635,1200,2,1.0,875,1978,,19,19 days on Zillow,DAYS_ON,46189208,46189208,https://www.zillow.com/homedetails/1603-Overdale-St-Orlando-FL-32825/46189208_zpid/
